"vehicle_category_id","child_sequence","grandchild_sequence","boarding_area_id"
"A8","8","","207261"
"A8","1","","207262"
"A8","2","","207262"
"A8","3","","207262"
"A8","4","","207262"
"A8","5","","207262"
"A8","6","","207262"
"A8","7","","207262"
"A8","8","","207262"
"A8","1","","207263"
"A8","2","","207263"
"A8","3","","207263"
"A8","4","","207263"
"A8","5","","207263"
"A8","6","","207263"
"A8","7","","207263"
"A8","8","","207263"
"A8","1","","2077291"
"A8","2","","2077291"
"A8","3","","2077291"
"A8","4","","2077291"
"A8","5","","2077291"
"A8","6","","2077291"
"A8","7","","2077291"
"A8","8","","2077291"
"A8","1","","2077292"
"A8","2","","2077292"
"A8","3","","2077292"
"A8","4","","2077292"
"A8","5","","2077292"
"A8","6","","2077292"
"A8","7","","2077292"
"A8","8","","2077292"
"A8","1","","2077301"
"A8","2","","2077301"
"A8","3","","2077301"
"A8","4","","2077301"
"A8","5","","2077301"
"A8","6","","2077301"
"A8","7","","2077301"
"A8","8","","2077301"
"A8","1","","2077302"
"A8","2","","2077302"
"A8","3","","2077302"
"A8","4","","2077302"
"A8","5","","2077302"
"A8","6","","2077302"
"A8","7","","2077302"
"A8","8","","2077302"
"A8","1","","2077303"
"A8","2","","2077303"
"A8","3","","2077303"
"A8","4","","2077303"
"A8","5","","2077303"
"A8","6","","2077303"
"A8","7","","2077303"
"A8","8","","2077303"
"A8","1","","2077304"
"A8","2","","2077304"
"A8","3","","2077304"
"A8","4","","2077304"
"A8","5","","2077304"
"A8","6","","2077304"
"A8","7","","2077304"
"A8","8","","2077304"
"A8","1","","2079101"
"A8","2","","2079101"
"A8","3","","2079101"
"A8","4","","2079101"
"A8","5","","2079101"
"A8","6","","2079101"
"A8","7","","2079101"
"A8","8","","2079101"
"A8","1","","2079102"
"A8","2","","2079102"
"A8","3","","2079102"
"A8","4","","2079102"
"A8","5","","2079102"
"A8","6","","2079102"
"A8","7","","2079102"
"A8","8","","2079102"
"A8","1","","208041"
"A8","2","","208041"
"A8","3","","208041"
"A8","4","","208041"
"A8","5","","208041"
"A8","6","","208041"
"A8","7","","208041"
"A8","8","","208041"
"A8","1","","208042"
"A8","2","","208042"
"A8","3","","208042"
"A8","4","","208042"
"A8","5","","208042"
"A8","6","","208042"
"A8","7","","208042"
"A8","8","","208042"
"A8","1","","208171"
"A8","2","","208171"
"A8","3","","208171"
"A8","4","","208171"
"A8","5","","208171"
"A8","6","","208171"
"A8","7","","208171"
"A8","8","","208171"
"A8","1","","208172"
"A8","2","","208172"
"A8","3","","208172"
"A8","4","","208172"
"A8","5","","208172"
"A8","6","","208172"
"A8","7","","208172"
"A8","8","","208172"
"A8","1","","208173"
"A8","2","","208173"
"A8","3","","208173"
"A8","4","","208173"
"A8","5","","208173"
"A8","6","","208173"
"A8","7","","208173"
"A8","8","","208173"
"A8","1","","2121221"
"A8","2","","2121221"
"A8","3","","2121221"
"A8","4","","2121221"
"A8","5","","2121221"
"A8","6","","2121221"
"A8","7","","2121221"
"A8","8","","2121221"
"A8","1","","2121222"
"A8","2","","2121222"
"A8","3","","2121222"
"A8","4","","2121222"
"A8","5","","2121222"
"A8","6","","2121222"
"A8","7","","2121222"
"A8","8","","2121222"
"A8","1","","2121223"
"A8","2","","2121223"
"A8","3","","2121223"
"A8","4","","2121223"
"A8","5","","2121223"
"A8","6","","2121223"
"A8","7","","2121223"
"A8","8","","2121223"
"A8","1","","2127102"
"A8","2","","2127102"
"A8","3","","2127102"
"A8","4","","2127102"
"A8","5","","2127102"
"A8","6","","2127102"
"A8","7","","2127102"
"A8","8","","2127102"
"A8","1","","2127103"
"A8","2","","2127103"
"A8","3","","2127103"
"A8","4","","2127103"
"A8","5","","2127103"
"A8","6","","2127103"
"A8","7","","2127103"
"A8","8","","2127103"
"A8","1","","2135231"
"A8","2","","2135231"
"A8","3","","2135231"
"A8","4","","2135231"
"A8","5","","2135231"
"A8","6","","2135231"
"A8","7","","2135231"
"A8","8","","2135231"
"A8","1","","2135232"
"A8","2","","2135232"
"A8","3","","2135232"
"A8","4","","2135232"
"A8","5","","2135232"
"A8","6","","2135232"
"A8","7","","2135232"
"A8","8","","2135232"
"A8","1","","2135233"
"A8","2","","2135233"
"A8","3","","2135233"
"A8","4","","2135233"
"A8","5","","2135233"
"A8","6","","2135233"
"A8","7","","2135233"
"A8","8","","2135233"
"A8","1","","2135234"
"A8","2","","2135234"
"A8","3","","2135234"
"A8","4","","2135234"
"A8","5","","2135234"
"A8","6","","2135234"
"A8","7","","2135234"
"A8","8","","2135234"
"A8","1","","2135235"
"A8","2","","2135235"
"A8","3","","2135235"
"A8","4","","2135235"
"A8","5","","2135235"
"A8","6","","2135235"
"A8","7","","2135235"
"A8","8","","2135235"
"A8","1","","2135236"
"A8","2","","2135236"
"A8","3","","2135236"
"A8","4","","2135236"
"A8","5","","2135236"
"A8","6","","2135236"
"A8","7","","2135236"
"A8","8","","2135236"
"A8","1","","2135237"
"A8","2","","2135237"
"A8","3","","2135237"
"A8","4","","2135237"
"A8","5","","2135237"
"A8","6","","2135237"
"A8","7","","2135237"
"A8","8","","2135237"
"A8","1","","2135238"
"A8","2","","2135238"
"A8","3","","2135238"
"A8","4","","2135238"
"A8","5","","2135238"
"A8","6","","2135238"
"A8","7","","2135238"
"A8","8","","2135238"
"A8","1","","2145661"
"A8","2","","2145661"
"A8","3","","2145661"
"A8","4","","2145661"
"A8","5","","2145661"
"A8","6","","2145661"
"A8","7","","2145661"
"A8","8","","2145661"
"A8","1","","2145662"
"A8","2","","2145662"
"A8","3","","2145662"
"A8","4","","2145662"
"A8","5","","2145662"
"A8","6","","2145662"
"A8","7","","2145662"
"A8","8","","2145662"
"A8","1","","2145663"
"A8","2","","2145663"
"A8","3","","2145663"
"A8","4","","2145663"
"A8","5","","2145663"
"A8","6","","2145663"
"A8","7","","2145663"
"A8","8","","2145663"
"A8","1","","2145664"
"A8","2","","2145664"
"A8","3","","2145664"
"A8","4","","2145664"
"A8","5","","2145664"
"A8","6","","2145664"
"A8","7","","2145664"
"A8","8","","2145664"
"A8","1","","2148531"
"A8","2","","2148531"
"A8","3","","2148531"
"A8","4","","2148531"
"A8","5","","2148531"
"A8","6","","2148531"
"A8","7","","2148531"
"A8","8","","2148531"
"A8","1","","2148532"
"A8","2","","2148532"
"A8","3","","2148532"
"A8","4","","2148532"
"A8","5","","2148532"
"A8","6","","2148532"
"A8","7","","2148532"
"A8","8","","2148532"
"A8","1","","2148533"
"A8","2","","2148533"
"A8","3","","2148533"
"A8","4","","2148533"
"A8","5","","2148533"
"A8","6","","2148533"
"A8","7","","2148533"
"A8","8","","2148533"
"A8","1","","2148534"
"A8","2","","2148534"
"A8","3","","2148534"
"A8","4","","2148534"
"A8","5","","2148534"
"A8","6","","2148534"
"A8","7","","2148534"
"A8","8","","2148534"
"A8","1","","2148535"
"A8","2","","2148535"
"A8","3","","2148535"
"A8","4","","2148535"
"A8","5","","2148535"
"A8","6","","2148535"
"A8","7","","2148535"
"A8","8","","2148535"
"A8","1","","2148536"
"A8","2","","2148536"
"A8","3","","2148536"
"A8","4","","2148536"
"A8","5","","2148536"
"A8","6","","2148536"
"A8","7","","2148536"
"A8","8","","2148536"
"A8","1","","2148537"
"A8","2","","2148537"
"A8","3","","2148537"
"A8","4","","2148537"
"A8","5","","2148537"
"A8","6","","2148537"
"A8","7","","2148537"
"A8","8","","2148537"
"A8","1","","2150411"
"A8","2","","2150411"
"A8","3","","2150411"
"A8","4","","2150411"
"A8","5","","2150411"
"A8","6","","2150411"
"A8","7","","2150411"
"A8","8","","2150411"
"A8","1","","2150412"
"A8","2","","2150412"
"A8","3","","2150412"
"A8","4","","2150412"
"A8","5","","2150412"
"A8","6","","2150412"
"A8","7","","2150412"
"A8","8","","2150412"
"A8","1","","2150413"
"A8","2","","2150413"
"A8","3","","2150413"
"A8","4","","2150413"
"A8","5","","2150413"
"A8","6","","2150413"
"A8","7","","2150413"
"A8","8","","2150413"
"A8","1","","2150414"
"A8","2","","2150414"
"A8","3","","2150414"
"A8","4","","2150414"
"A8","5","","2150414"
"A8","6","","2150414"
"A8","7","","2150414"
"A8","8","","2150414"
"A8","1","","2205111"
"A8","2","","2205111"
"A8","3","","2205111"
"A8","4","","2205111"
"A8","5","","2205111"
"A8","6","","2205111"
"A8","7","","2205111"
"A8","8","","2205111"
"A8","1","","2205112"
"A8","2","","2205112"
"A8","3","","2205112"
"A8","4","","2205112"
"A8","5","","2205112"
"A8","6","","2205112"
"A8","7","","2205112"
"A8","8","","2205112"
"A8","1","","2560692"
"A8","2","","2560692"
"A8","3","","2560692"
"A8","4","","2560692"
"A8","5","","2560692"
"A8","6","","2560692"
"A8","7","","2560692"
"A8","8","","2560692"
"A8","1","","2560693"
"A8","2","","2560693"
"A8","3","","2560693"
"A8","4","","2560693"
"A8","5","","2560693"
"A8","6","","2560693"
"A8","7","","2560693"
"A8","8","","2560693"
"A8","1","","2560711"
"A8","2","","2560711"
"A8","3","","2560711"
"A8","4","","2560711"
"A8","5","","2560711"
"A8","6","","2560711"
"A8","7","","2560711"
"A8","8","","2560711"
"A8","1","","2560712"
"A8","2","","2560712"
"A8","3","","2560712"
"A8","4","","2560712"
"A8","5","","2560712"
